Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,5019,
Trigger Level,2.240E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.720E+00,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-4.000E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-08,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,-4.000E-07,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-8.738000e-05,-1.72e+00,
-8.736000e-05,-1.72e+00,
-8.734000e-05,-1.72e+00,
-8.732000e-05,-1.72e+00,
-8.730000e-05,-1.72e+00,
-8.728000e-05,-1.72e+00,
-8.726000e-05,-1.72e+00,
-8.724000e-05,-1.72e+00,
-8.722000e-05,-1.72e+00,
-8.720000e-05,-1.72e+00,
-8.718000e-05,-1.72e+00,
-8.716000e-05,-1.72e+00,
-8.714000e-05,-1.72e+00,
-8.712000e-05,-1.72e+00,
-8.710000e-05,-1.72e+00,
-8.708000e-05,-1.72e+00,
-8.706000e-05,-1.72e+00,
-8.704000e-05,-1.72e+00,
-8.702000e-05,-1.72e+00,
-8.700000e-05,-1.72e+00,
-8.698000e-05,-1.72e+00,
-8.696000e-05,-1.72e+00,
-8.694000e-05,-1.72e+00,
-8.692000e-05,-1.72e+00,
-8.690000e-05,-1.72e+00,
-8.688000e-05,-1.72e+00,
-8.686000e-05,-1.72e+00,
-8.684000e-05,-1.72e+00,
-8.682000e-05,-1.72e+00,
-8.680000e-05,-1.72e+00,
-8.678000e-05,-1.72e+00,
-8.676000e-05,-1.72e+00,
-8.674000e-05,-1.72e+00,
-8.672000e-05,-1.72e+00,
-8.670000e-05,-1.72e+00,
-8.668000e-05,-1.72e+00,
-8.666000e-05,-1.72e+00,
-8.664000e-05,-1.72e+00,
-8.662000e-05,-1.72e+00,
